NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0.043128,0.072462,0.10343,0.12365,0.13889,0.15535,0.18017,0.21158,0.23478,0.25877,0.2914,0.31449,0.34609,0.36983,0.39402,0.42512,0.45843,0.48952,0.51782,0.54755,0.56907,0.57931,0.58236,0.58297,0.58315,0.58321,0.58333,0.58457,0.58785,0.59481,0.60148,0.60857,0.61174,0.60735,0.60631,0.60413,0.60018,0.59801,0.59654,0.59417,0.59271,0.59195,0.59123,0.59363,0.59299,0.59229,0.59198,0.592,0.59198,0.59093,0.59066,0.59033,0.59024,0.59008,0.5898,0.58965,0.58946,0.59149,0.59129,0.59113,0.59059,0.59037,0.59047,0.59062,0.59036,0.59006,0.58975,0.5895,0.58892,0.59206,0.59199,0.59178,0.59119,0.59062,0.58994,0.58958,0.59032,0.58895,0.58882,0.58843,0.59055,0.59005,0.59032,0.58994,0.58952,0.58919,0.58868,0.58918,0.58866,0.58824,0.58736,0.58673,0.58583,0.58511,0.58451,0.58392,0.58313,0.58342,0.58276,0.58517,0.58433,0.58373,0.58305,0.5827,0.58219,0.58195,0.58177,0.58231,0.58196,0.58149,0.58103,0.58157,0.58216,0.58159,0.58141,0.58184,0.58186,0.5813,0.58187,0.58155,0.58126,0.58081,0.58041,0.58003,0.57963,0.58015,0.58252,0.58218,0.58274,0.5853,0.58477,0.58422,0.58395,0.5835,0.58339,0.58299,0.58245,0.58262,0.58256,0.58206,0.58178,0.58154,0.58118,0.58082,0.58057,0.58049,0.5803,0.5804,0.57994,0.57962,0.57922,0.57881,0.57832,0.57794,0.57764,0.57738,0.57707,0.57667,0.57635,0.57612,0.57575,0.57547,0.57533,0.57518,0.57494,0.57475,0.57451,0.57411,0.57381,0.57345,0.57299,0.57278,0.57235,0.57219,0.57213,0.57153,0.57125,0.57074,0.5704,0.57011,0.5697,0.57185,0.57154,0.57135,0.57123,0.57092,0.57172,0.57147,0.57114,0.57094,0.57061,0.57027,0.57037,0.57023,0.56982,0.56961,0.56926,0.56884,0.56973,0.56951,0.56929,0.56971,0.56957,0.56958,0.56936,0.5693,0.56877,0.56894,0.56847,0.56808,0.57192,0.57176,0.57144,0.57128,0.5737,0.57337,0.57304,0.57261,0.57218,0.57218,0.57243,0.57243,0.57208,0.57241,0.57223,0.57241,0.57507,0.57498,0.57498,0.57471,0.57727,0.57709,0.57681,0.57653,0.57635,0.57635,0.57676,0.57657,0.57638,0.57636,0.57636,0.57635,0.57635,0.57606,0.57596
1,1,1,1,1,1,1,1,0.043128,0,0.032913,0.066977,0.08945,0.10661,0.12501,0.15204,0.18543,0.21044,0.23602,0.27076,0.29577,0.32935,0.35485,0.38094,0.41395,0.44924,0.48205,0.51199,0.54319,0.56592,0.57688,0.58027,0.581,0.58121,0.58128,0.58139,0.58254,0.58568,0.59228,0.59836,0.60489,0.60751,0.60274,0.60127,0.5989,0.59527,0.59285,0.59122,0.5887,0.58714,0.58648,0.58567,0.58796,0.5873,0.58653,0.58622,0.58621,0.58615,0.58502,0.58472,0.58436,0.58425,0.58411,0.58384,0.58366,0.58343,0.58542,0.58525,0.58505,0.58448,0.58423,0.5843,0.58442,0.58413,0.58378,0.58343,0.58314,0.58252,0.58569,0.58559,0.58533,0.5847,0.58414,0.58341,0.583,0.58369,0.58223,0.58203,0.58159,0.58366,0.5831,0.5836,0.58316,0.58269,0.58261,0.58201,0.58243,0.58185,0.58134,0.58036,0.57963,0.57861,0.57779,0.57711,0.57644,0.57555,0.57585,0.57509,0.57752,0.57697,0.57647,0.57587,0.57544,0.57485,0.57455,0.5743,0.57475,0.57434,0.5738,0.57325,0.57371,0.57437,0.57371,0.57344,0.57377,0.57371,0.57306,0.57354,0.57315,0.57281,0.57226,0.5718,0.57135,0.57089,0.57132,0.57361,0.57321,0.57369,0.57621,0.57559,0.57495,0.57464,0.57412,0.57396,0.57349,0.57286,0.57297,0.5728,0.57221,0.57189,0.57161,0.57119,0.57078,0.57048,0.57035,0.57013,0.57015,0.56961,0.5692,0.56873,0.56826,0.56768,0.56779,0.56744,0.56714,0.56678,0.56632,0.56595,0.56568,0.56525,0.56493,0.56476,0.56459,0.56431,0.56409,0.56381,0.56335,0.563,0.56258,0.56204,0.5618,0.5613,0.56112,0.56101,0.5603,0.55998,0.55939,0.55899,0.55865,0.55817,0.56016,0.5598,0.55959,0.55944,0.55908,0.55975,0.55945,0.55907,0.55883,0.55845,0.55805,0.55812,0.55796,0.55748,0.55723,0.55683,0.55633,0.55713,0.55688,0.55662,0.557,0.55683,0.55679,0.55653,0.55641,0.55579,0.55593,0.55539,0.55493,0.5587,0.55851,0.55813,0.55794,0.5603,0.55991,0.55952,0.55902,0.55851,0.55845,0.55869,0.55869,0.55828,0.55854,0.55833,0.55848,0.5611,0.561,0.561,0.56068,0.5632,0.56298,0.56266,0.56233,0.56211,0.56211,0.56247,0.56225,0.56202,0.56194,0.56194,0.56186,0.56186,0.56151,0.5614
